Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA sample avg,SMA200P sample avg,SMA200CB sample avg,SMA300CB sample avg,ChloroSMA20 sample avg,ChloroSMA40 sample avg,ChloroSMA60 sample avg,ChloroSMA80 sample avg,NP40 sample avg,AASTY645 sample avg,AASTY650 sample avg,AASTY1150 sample avg,AASTY1145 sample avg,AASTY80 sample avg
P11142,P11142,Heat shock cognate 71 kDa protein,HSPA8,70.897,497158916.5456355,390151213.8585999,368973948.5769901,297708488.97559136,466266273.7588985,446496100.45150524,311505000.0,456919401.146301,423513182.4720454,670508149.8566632,444703213.83424616,570512896.3193442,460530418.0309794,524797914.9313602
P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2;A0A8I5KWR0,P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2,Prohibitin,PHB ,29.804,507736198.9608883,365966998.21867967,317326648.6643701,265873954.92660293,341641548.2374849,229388958.73544627,315600000.0,526560323.59669816,457603326.302463,167065855.3746291,314645388.8735754,234998293.69204354,284001529.95221627,307624185.28935647
P14625;Q58FF3,P14625,Endoplasmin,HSP90B1,92.468,511050591.73785925,498281235.8080624,359978357.17885244,295357761.2335533,556086414.5050932,526168446.03538007,365930000.0,326512870.2187815,459583337.9753216,505141773.36517364,365928694.1263285,549925656.3530643,471032694.774587,468051073.6182786
P62873,P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,37.377,425563769.6784634,444129231.2518926,283974204.37866336,213789321.48540488,463995018.6862509,482138041.757645,249710000.0,266446793.87748373,374838838.376972,339577124.33731776,269887286.01679045,410218742.00370634,375369367.2132079,273942282.5382939
Q3SYG4,Q3SYG4,Protein PTHB1,BBS9,99.279,501128727.82994956,334307334.1323836,478548273.3527772,1830727427.8931313,279978572.4905068,387590315.6387748,154406500.0,1325675855.614063,268546154.6017124,1216437416.4171855,356596813.9901718,440921561.9322389,389654828.07458794,159522239.02856058
P62241,P62241,40S ribosomal protein S8,RPS8,24.205,429464309.0880176,986879186.0684117,835862331.1684868,974234638.5299485,893486153.9730982,848065181.8600187,1138800000.0,631696256.1175534,752726894.7301464,470160833.02055156,554913817.6321553,830880076.2529278,860306577.2262048,736688492.6592523
O15460;E7ENX0;E7EPI9;C9JX45;A8MXE0;E7ERI1;C9JCP0,O15460,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,60.901,426192545.15705276,395232838.92608005,508600424.23381686,222060378.1962725,580392042.7332286,595051326.6923752,725745000.0,340128763.57679635,347186561.0714492,343698360.62893116,1494167876.6862931,433393012.4775739,439348527.7882435,337919081.0598653
P21397,P21397,Amine oxidase [flavin-containing] A,MAOA,59.681,408512231.27604073,80280676.73017548,104093316.6665778,100938678.06261835,190791824.00400823,74139811.25382842,160785000.0,63564986.18494907,74697354.652644,71247819.71081965,49491299.71863742,92013989.57043277,46600158.53401884,138873075.95822716
P00505,P00505,"Aspartate aminotransferase, mitochondrial",GOT2,47.517,451945696.7504617,98033366.90098275,472251359.3740808,489042015.37252986,14598731.900752692,29952348.953454457,54185000.0,199691441.4873631,394356096.29515004,226604265.58061737,36506211.62065469,83550911.67959988,127587884.37187262,10662775.62961388
Q9ULF5,Q9ULF5,Zinc transporter ZIP10,SLC39A10,94.131,420720067.0510252,380677912.8178075,641689339.517857,436431640.7653747,387700041.95013213,541579388.4100254,1680349999.99999,392456265.66553426,490205632.79013234,487375137.8743524,1000600015.3754075,413641470.5685203,648855484.365852,363415716.9412562
O76094;D6RDY6;R4GNC1,O76094,Signal recognition particle subunit SRP72,SRP72,74.605,395206702.7164003,523863348.3083403,634750701.8215864,641283362.4295089,456541463.306999,452122508.5422094,722465000.0,354119406.2932887,520646897.96628183,790668388.0566412,469950379.49714005,820379348.4903884,588652939.8806067,1160983488.9176416
P30050,P30050,60S ribosomal protein L12,RPL12,17.818,399863904.142562,529094962.3093352,353194420.7359256,323590666.14564025,550635402.330739,479303776.2916326,442120000.0,401525200.14068913,373107742.45727277,367158250.3782698,353544390.2727318,563769176.3445091,664250941.9562312,311966501.9310921
P45880;A0A0A0MR02;Q5JSD2;Q5JSD1;A2A3S1,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1,Voltage-dependent anion-selective channel protein 2,VDAC2,31.566,373018388.37024784,167045675.03406113,152248951.9944684,140898632.47650236,149947620.10603067,58045877.09491051,135585000.0,138948317.9717494,274344760.21508414,24186416.97188078,114944447.35970175,32218703.534944773,72623342.20246647,305366180.635654
Q99623;F5GY37;J3KPX7;A0A7I2V5F0;F5GWA7;F5H3X6;F5H0C5;F5H2D2;A0A3G2KQ93;U3KPZ5,Q99623;F5GY37;J3KPX7;A0A7I2V5F0;F5GWA7;F5H3X6,Prohibitin-2,PHB2,33.296,380110762.6245055,378962039.4183986,345161414.91414917,290801337.79525846,269095741.8466378,301990684.5261902,339385000.0,458961785.1500032,538042714.806397,154411818.85725266,280344424.0487831,242526843.14670852,298694208.54849535,486571054.095281
P27797,P27797,Calreticulin,CALR,48.141,334599140.90728927,33539925.356837105,150457855.26131052,113099010.80118695,172122747.0970066,246334376.04391995,77593500.0,123110785.50022724,326571810.9688867,268843396.9886478,133775702.91651033,107976549.15741846,48146929.12383722,172549188.95376742
P07237,P07237,Protein disulfide-isomerase,P4HB,57.116,349268792.53912354,238824379.05688584,150724858.1652298,121158562.4452902,248046645.53956604,267534200.3257924,205445000.0,170948165.69214088,317384556.80682266,258943932.49436006,184852710.88836023,190728097.47793227,212436297.05768925,164334973.3064842
P49411,P49411,"Elongation factor Tu, mitochondrial",TUFM,49.874,356632925.6866698,164147888.83855596,206955898.91766515,222600018.26661694,168181639.70334208,132265721.74724841,113710000.0,277239575.401635,212042278.63453516,235583179.01320457,215241141.07533213,265061622.93330717,166689982.16136208,362438695.6968657
P61353,P61353,60S ribosomal protein L27,RPL27,15.798,391673837.10364836,580265186.8672315,454231528.1975565,186855661.9834418,325870720.7612137,425536978.12003726,708465000.0,116188540.26688418,663213395.5883117,258080030.72876412,391667351.74372554,302282887.70820504,481456155.1824077,440853697.0522079
P05023;Q13733;Q5TC05;Q5TC01;E9PRA5;Q5TC02;M0QXF2,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,112.89,340220819.97433805,339166975.57826185,393422476.28135544,388383732.59842193,394635367.2987236,402519854.1126112,438985000.0,286014956.21264917,317158269.7584959,251360007.9783499,299137524.3091237,287138585.5233383,295048953.0183501,259750144.31422135
P46060;H0Y4Q3;B0QYT5;B0QYT4,P46060,Ran GTPase-activating protein 1,RANGAP1,63.541,340044975.98456305,397320684.8806056,406400192.53408283,345563021.08150244,439996489.73554385,455185440.8611061,549060000.0,376004768.82837313,292170522.44702005,520316703.559207,677883811.2489399,418902734.8592321,375520431.85679954,378932261.7410581
P62820;P59190,P62820,Ras-related protein Rab-1A,RAB1A,22.677,299648815.78807366,278379460.603399,303185808.17353964,402784206.1441204,282403377.2018686,306931092.05824167,240600000.0,188086703.019844,259189185.1534033,282750799.18233967,193680165.0712112,254480958.83485907,254970846.27069923,272820517.4058456
Q96AG4,Q96AG4,Leucine-rich repeat-containing protein 59,LRRC59,34.93,303293582.12159145,265594403.91060066,252059908.78144866,249412817.73042896,268737459.35630465,237374245.9401141,146235000.0,188114184.6394657,218123743.05831525,258483656.96350977,151631734.9635944,241756547.54613468,239299531.50506583,300828459.7450403
Q02878,Q02878,60S ribosomal protein L6,RPL6,32.728,311185247.2384627,655901606.2600559,515768248.9720782,801326224.9491388,677179498.3360802,612947516.7049465,699330000.0,351795960.27072835,707277141.0737284,438982476.67695427,798105330.1201481,634454698.1066004,820596280.0455595,646867672.9249511
P05387,P05387,60S acidic ribosomal protein P2,RPLP2,11.665,410638344.97059286,524079.33237260155,5206155.5491018295,32985121.612186503,193939.59159764936,118407.30695271188,1071250.0,3325900.5564875784,493136050.06596315,4892870.516178844,331422.72542051325,1162928.3486776464,637236.642865263,3872984.5847080206
A0A7P0TA85;P35613;A0A7P0TB04;A0A087WUV8;I3L192;A0A7P0T8A7;R4GMX5;R4GN83;A0A2R8YDZ0,A0A7P0TA85;P35613;A0A7P0TB04;A0A087WUV8;I3L192;A0A7P0T8A7,Basigin,BSG,28.991,310050254.2135514,77570076.72369668,261210201.43293014,246639079.8548622,128537042.35781924,126001453.48797244,97658500.0,150399409.20229274,370064181.65727866,103927382.40119024,149122539.19586828,65585583.531122245,60993991.857105836,60167139.387888625
P62277,P62277,40S ribosomal protein S13,RPS13,17.222,294298895.61431354,666946791.324083,446135495.9392325,290952412.84294724,330771513.396842,425771662.5216816,492370000.0,84895719.66948688,647808904.7734715,353647393.2573105,640058331.7504085,634592769.9595335,718798414.3487649,420915226.4722386
O60506,O60506,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,69.602,275254458.6611077,385537554.2636858,291417053.5673136,378485295.47385037,399120296.32950085,354463709.71436155,301015000.0,337230701.8712372,278157696.9793891,416712222.1458133,380033219.82068604,501905719.2908767,419565627.50572556,511799913.78376496
P23284,P23284,Peptidyl-prolyl cis-trans isomerase B,PPIB,23.742,250060810.67152822,122704746.596959,233839538.94318247,239175972.49903443,41558209.71799859,100192788.6107307,46842500.0,166476156.68097636,349619146.8409612,297939891.7003993,162929582.91776338,317325452.738279,253729488.9820552,68453726.97920075
Q15084,Q15084,Protein disulfide-isomerase A6,PDIA6,48.121,236845868.40965068,243342045.73435047,157709333.26989847,116050412.93283577,281718801.7292678,253784101.40893787,156895000.0,145608863.23642236,197729622.82787132,275882072.02965075,194346266.00955087,259386143.0837962,265873772.72122374,183868160.99989155
P62753,P62753,40S ribosomal protein S6,RPS6,28.68,251568806.09899247,571877805.705086,574067702.7784803,661732880.8846678,571857241.9813643,657880553.2966982,939425000.0,545978586.1884726,575747794.2338336,492586873.1159803,891708679.455375,619201391.8273128,598235692.7067002,653714058.8300877
P61604,P61604,"10 kDa heat shock protein, mitochondrial",HSPE1,10.932,252075023.64531443,248537662.39130184,304555200.7494345,411752020.9749288,185360005.53449336,174202019.0564647,206570000.0,695359926.3002348,275527110.04259115,376824036.52612585,425231078.63676316,331241642.12600434,226537853.13556638,459909229.91502434
P08670;B0YJC4;A0A1B0GTT5;A0A1B0GVG8,P08670;B0YJC4,Vimentin,VIM,53.651,246101656.59871572,278763432.27319676,241786599.6242124,335579981.93022513,322127948.3175551,343198858.43543303,257310000.0,489628774.31874317,313633848.9808076,417604448.55946153,426821960.48949677,431750684.1216334,313176710.2493427,555852716.1141727
P23396;E9PL09;E9PPU1;F2Z2S8;H0YCJ7;E9PQ96;E9PJH4;H0YF32,P23396;E9PL09;E9PPU1;F2Z2S8;H0YCJ7,40S ribosomal protein S3,RPS3,26.688,239611414.79429358,477030803.7076909,359497064.3906718,603955739.6465548,282825638.70833266,377715518.123432,346215000.0,127979404.24911375,535242412.58335406,365713693.32760113,276043869.44688135,352969791.6138888,454698009.18274695,419330280.8980051
Q9H061;E9PI90,Q9H061,Transmembrane protein 126A,TMEM126A,21.527,250966673.64915696,170074851.53532532,102234036.78842767,100037666.47820221,209224178.55132547,134566230.638239,168145000.00000003,146586959.06204858,209060946.7728309,147181952.44189656,179148170.71642408,166282112.56915516,91143210.70399895,231734964.78062376
Q07021;I3L3Q7;I3L3B0,Q07021;I3L3Q7;I3L3B0,"Complement component 1 Q subcomponent-binding protein, mitochondrial",C1QBP,31.362,219415998.99892426,8940720.335668175,34270338.38887981,38452829.73814032,27704193.565009773,27142153.682482436,1312400.0000000002,53936426.00113452,79908745.37560792,68334629.65863797,16299101.941207623,40971732.31693706,22676773.411494493,28021693.008560188
P49207,P49207,60S ribosomal protein L34,RPL34,13.293,235369844.61669096,445329142.7200107,343190406.35302854,329265044.93683237,379900999.8837734,455504370.94539195,867085000.0,167019543.2507687,579645588.641261,208058702.26835722,955615567.5395752,272880849.9730944,500562548.58275455,233660058.49179322
P62249,P62249,40S ribosomal protein S16,RPS16,16.445,238423135.71187475,400284466.20685726,424397105.00640804,952395229.6360525,212461516.7675499,281916141.86245865,388225000.0,236960265.18794787,669306174.3645082,309538835.0778265,277414873.3199688,234983759.8127874,350358316.65682405,352755329.5857953
P07339;A0A1B0GU92;A0A1B0GU03;A0A1B0GVF1,P07339;A0A1B0GU92;A0A1B0GU03,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,44.552,214082064.64241642,50712458.332809284,51178612.41174886,79806300.39190602,100910903.19248918,64012878.44543696,41583500.0,188854939.20472282,130103738.43543674,80713208.97370553,20545010.398167912,68879687.26451959,30580738.285326526,98176160.67244072
P62979;P0CG47;P0CG48,P62979;P0CG47;P0CG48,Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin,RPS27A;UBB;UBC,17.965,187907953.19469765,351448069.4544506,468761986.6597713,711696420.6563147,547455645.2290324,526385077.79074407,659314999.9999999,660458269.3806995,245453561.31997257,423927926.2371432,394674506.465356,509594141.4173589,361852365.6257505,311865181.2094516
P35221;G3XAM7;E5RIB1;E5RJ41,P35221;G3XAM7,Catenin alpha-1,CTNNA1,100.07,210900887.00921443,207932658.31018537,200223529.55918628,115374201.01938061,226479319.20183384,219062845.06309515,268750000.0,179948396.11824152,165919321.00934535,174409020.3821945,212085245.3674704,189260175.67306516,206406847.36998954,172223515.20563725
Q14697,Q14697,Neutral alpha-glucosidase AB,GANAB,106.87,205636224.52746648,289946607.1560574,191909769.6109711,156882372.52197963,273459110.7467663,247965131.75791016,202920000.0,218260272.1999219,262119602.4292341,286765818.04375684,304485732.8140451,322310573.3231247,364387624.4268965,231640881.2533862
P07900,P07900,Heat shock protein HSP 90-alpha,HSP90AA1,84.659,203062507.9498508,328727745.80563444,295164261.7038627,208278103.7457167,324802271.1918275,424104801.51513076,310455000.0,286683259.2352673,270939140.13776726,607075100.5434802,495087606.17021084,420574130.9736848,455354811.98097134,340111950.9639417
A0A7P0T937;P27824;A0A7P0T9L0;A0A7P0T8G1;A0A7P0TB65;A0A7P0T840;A0A7P0TAE9;D6RGY2,A0A7P0T937;P27824;A0A7P0T9L0;A0A7P0T8G1;A0A7P0TB65;A0A7P0T840;A0A7P0TAE9;D6RGY2,Calnexin,CANX,67.438,193907963.2700501,145464067.36848903,249808146.09388936,103989185.42555103,272537812.91448116,260674194.7392654,139800000.0,368334898.62486756,309917084.2120415,228990617.1790258,91259062.05223536,239612800.35585847,164680165.5987955,249552937.40054557
P62244,P62244,40S ribosomal protein S15a,RPS15A,14.839,205417751.6916854,596733971.7671524,424517428.2034532,758257750.3540095,668152059.1600077,528527325.1493437,702660000.0,396341167.3484174,511963132.4867447,387927298.56263745,323809127.02529687,547004346.6225861,738154392.8124369,539865753.6781827
P30048,P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,27.692,209446177.6392578,19770941.26018192,108595123.13888149,128785435.15281264,31944082.96400566,50169507.5228007,10964550.0,270725182.3867682,126620615.04406801,213915531.36937687,91116141.36546539,142391321.84796146,35536315.39792937,129483539.93991418
P62280,P62280,40S ribosomal protein S11,RPS11,18.431,193316488.03171608,553501161.5708573,364132372.3149351,616017571.4540304,364450067.4881568,481421953.45519173,731425000.0,298256768.58957994,411299339.03861177,325188203.1267364,584015314.9382573,339337012.8716576,585854959.9601709,317618750.75975126
P60953;A0A590UJK8;A0A8Q3SI43,P60953;A0A590UJK8;A0A8Q3SI43,Cell division control protein 42 homolog,CDC42,21.258,185121092.38705167,178036864.08202294,65987533.12998246,170763147.90362856,152692319.89804703,134967601.14053842,102926500.0,148550645.70047054,149292880.13354102,208504815.47518137,92544054.8332848,196723322.67107767,157159773.5591265,156217736.06419978
P04844;Q5JYR7;Q5JYR4;Q5JYR3;H0Y5M1,P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,RPN2,69.283,167232962.88176018,169463496.64231914,123589112.39352264,161094344.851544,163453590.41126728,142224764.94523278,59834500.0,91092200.3119119,185781666.67622152,143464342.38502884,83738588.44839846,187225432.57720977,208777905.47157952,214582814.0457681
Q9P1Q0,Q9P1Q0,Vacuolar protein sorting-associated protein 54,VPS54,110.59,173739190.5034346,348112315.57308227,172892974.801787,332959132.00291944,148693631.3898647,554926311.5599524,53124450.0,171286064.69703475,32895913.932873342,250871407.7994473,40053360.79229846,83303835.73224601,329563940.0650406,59165511.68252829
P30040,P30040,Endoplasmic reticulum resident protein 29,ERP29,28.993,178348434.47783944,129069077.02385738,93747240.62350947,84529510.68284932,103690791.44337754,85092351.75210716,117980000.0,121435655.86783293,106043202.30447945,141707506.08958337,83235455.89497297,107379933.41395514,128313651.46391055,96821357.8802192
P34897,P34897,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,55.992,185211678.68481457,49927716.23266004,110462424.56350128,108713604.31687585,100458571.5484436,65201946.08043498,93097500.0,163103412.45467907,155561031.3721906,143562062.42080936,79878436.50572905,98826018.77777156,76944447.81198458,118899866.84512393
P62826,P62826,GTP-binding nuclear protein Ran,RAN,24.423,180783607.30593544,327695821.9430528,382169392.5196087,278389011.87714493,341564773.4181277,351412812.4929851,417620000.0,280712252.7901929,247524087.8121619,493641966.25592947,469633496.5264736,350048481.88341075,431322397.59394175,295820321.21823853
P08708,P08708,40S ribosomal protein S17,RPS17,15.55,201000337.52430782,209642532.1522537,173025903.28614163,121453460.93837877,186908297.72486153,177499635.77700573,117390000.0,201646383.97408727,296362490.0172721,239159165.82981065,308928561.40277666,274581313.84605926,215372205.56575218,115784978.37411891
P11279,P11279,Lysosome-associated membrane glycoprotein 1,LAMP1,44.882,185755196.47139177,49477749.43211575,64442239.49935969,61084476.182116516,48143569.84835389,57069228.931144424,33975500.0,4675872.6621762635,173737538.5290329,33030788.326219425,26376303.758370627,24506300.50768997,37894237.443554856,33541501.179646436
A0A0C4DG17;A0A8V8TLA4;P08865;A0A8I5KQE6,A0A0C4DG17;A0A8V8TLA4;P08865;A0A8I5KQE6,40S ribosomal protein SA,RPSA,33.313,178476321.01585764,37172657.32656465,73213227.59634644,237278469.90006283,70953368.6793485,86147228.0497547,50771500.0,110289985.36444874,295095282.54664266,226153903.6765854,186346587.7500735,87221442.88573049,59777593.07479431,65692737.314497195
P00403,P00403,Cytochrome c oxidase subunit 2,MT-CO2,25.565,166929232.35396704,82718296.8776574,147401646.0563636,52395848.03943702,52926001.30413996,82926034.19846708,53013500.0,163078429.1641139,118065267.46445625,35103444.44744834,20354233.91582791,43353835.1270135,28746288.06988587,91121343.56850094
P48047;A0A494C0K9;H7C0C1;H7C086;H7C068,P48047;A0A494C0K9;H7C0C1,"ATP synthase subunit O, mitochondrial",ATP5O,23.277,174804911.653586,150198918.02168304,184455461.07022133,146742215.32110596,91935287.01948279,101369821.1482085,153850000.0,163420700.24485672,184231600.39518362,129543485.98351215,142707275.78972313,151205392.9228294,149547429.1277061,179562030.33017042
P04843;B7Z4L4;F8WF32,P04843;B7Z4L4,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,68.569,184316472.91868737,237666464.49015188,205437534.7644763,208755500.89641336,223625855.08239496,212720348.66993773,165535000.0,173790014.99392837,181974387.08812478,132807193.55534136,154625955.68642226,177865614.3362749,259798346.83764833,165869258.51989743
P51149,P51149,Ras-related protein Rab-7a,RAB7A,23.489,179867087.1168052,196161526.80794683,193296351.21501526,144258541.53710175,215167829.14988768,185647396.79819658,181215000.0,103457679.97714026,180537464.33125022,192352684.9233427,136405831.5730418,196963131.6788035,196784686.37600258,166071899.96317846
O95197;F5H617,O95197;F5H617,Reticulon-3;Reticulon,RTN3,112.61,153346616.29528722,267136290.1471324,261187282.72873107,153957559.59872407,286011793.71165234,247381429.52817935,269395000.0,68799610.14061525,136004173.22055545,155941349.85207823,143780797.6903482,187340250.22333303,249473406.84956127,119134351.94377765
P02786;A0A8V8TLM6;A0A8V8TM41;G3V0E5;A0A8V8TLK7;A0A8V8TLN0;A0A8V8TM46;A0A8V8TN37;A0A8V8TND0;A0A8V8TLK4;F8WBE5,P02786;A0A8V8TLM6;A0A8V8TM41;G3V0E5;A0A8V8TLK7;A0A8V8TLN0;A0A8V8TM46;A0A8V8TN37,"Transferrin receptor protein 1;Transferrin receptor protein 1, serum form",TFRC,84.87,165042905.91819903,149604961.8449646,139712420.79757327,90474011.65930906,176582084.52133152,158592497.57273576,133050000.0,52450544.79477133,150961747.11495042,113619368.84849474,114080456.23968059,136426617.80125389,152844579.1747924,111880511.9937583
Q15907,Q15907,Ras-related protein Rab-11B,RAB11B,24.488,170659256.379497,208406623.34009206,260946636.33464077,173512713.7715651,201617073.53335944,250570730.3710384,268820000.0,305583118.54781455,175236690.22419727,155271471.92564073,89336423.13021222,154662276.10389516,142289758.20732686,150811551.84523892
Q96S66;A0A6Q8PEZ7;A0A6Q8PHQ1;A0A6Q8PG30;A0A8I5KRC0;A0A6Q8PG14;A0A6Q8PG75;A0A6Q8PGA4;A0A6Q8PFF7;Q5T1P5;A0A6Q8PG68;A0A6Q8PF11;A0A8I5KXB0;A0A6Q8PFH1;A0A6Q8PF97;A0A8I5KPC2;A0A6Q8PFT6;A0A8I5KXZ8,Q96S66;A0A6Q8PEZ7;A0A6Q8PHQ1;A0A6Q8PG30;A0A8I5KRC0;A0A6Q8PG14;A0A6Q8PG75;A0A6Q8PGA4;A0A6Q8PFF7;Q5T1P5;A0A6Q8PG68,Chloride channel CLIC-like protein 1,CLCC1,62.022,156533122.53423995,72817827.35421497,130852622.7218151,155353493.03936878,105105367.4900321,163833782.5427928,207450000.0,113106851.37567109,138742246.50530854,138787234.8753886,139150426.1189773,117133619.7827306,79081027.31460845,124238021.43669757
Q02978;I3L1P8,Q02978;I3L1P8,Mitochondrial 2-oxoglutarate/malate carrier protein,SLC25A11,34.061,171911478.7309249,130336783.48992416,178296059.31671938,210791992.53925866,155744118.96749178,184822992.61806133,157005000.0,109393085.23315932,202068676.97953582,136276254.82554993,120272608.16647896,123875886.36964005,113619002.45923679,243039462.43794215
