,Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA sample avg,SMA200P sample avg,SMA200CB sample avg,SMA300CB sample avg,ChloroSMA20 sample avg,ChloroSMA40 sample avg,ChloroSMA60 sample avg,ChloroSMA80 sample avg,NP40 sample avg,AASTY645 sample avg,AASTY650 sample avg,AASTY1150 sample avg,AASTY1145 sample avg,AASTY80 sample avg
14,P30101,P30101,Protein disulfide-isomerase A3,PDIA3,56.782,542175445.0,458575000.0,,341582500.0,365904000.0,454713160.0,451441930.0,445617375.0,352726930.0,283623915.0,264416400.0,231332625.0,302100250.0,205302580.0
15,P07195,P07195,L-lactate dehydrogenase B chain,LDHB,36.638,564174905.0,391820000.0,,603080625.0,362496000.0,339458240.0,133882060.0,461453775.0,381966300.0,629860740.0,183787200.0,343710000.0,296496000.0,387147460.0
16,Q99623;F5GY37;J3KPX7;A0A7I2V5F0;F5GWA7;F5H3X6;F5H0C5;F5H2D2;A0A3G2KQ93;U3KPZ5,Q99623;F5GY37;J3KPX7;A0A7I2V5F0;F5GWA7;F5H3X6,Prohibitin-2,PHB2,33.296,342046530.0,315825000.0,,210533750.0,168240000.0,242895400.0,277616930.0,292094925.0,348570820.0,84062130.0,156060000.0,112637250.0,164854125.0,221193280.0
17,P62241,P62241,40S ribosomal protein S8,RPS8,24.205,386457820.0,822460000.0,,705324375.0,558612000.0,682110880.0,931538400.0,402027525.0,487653905.0,255956580.0,308905200.0,385887375.00000006,474817000.0,334895680.0
18,P05141,P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,32.852,948585259.9999952,682260000.0,,814292500.0,516844000.0,726726000.0,599250440.0,292818375.0,689774990.0,457538385.0,463629600.0,486097875.00000006,422551750.0,556342290.0
19,P08670;B0YJC4;A0A1B0GTT5;A0A1B0GVG8,P08670;B0YJC4,Vimentin,VIM,53.651,221457075.0,232320000.0,,242952500.0,201396000.0,276039720.0,210479580.0,311612175.0,203187600.0,227344770.0,237600000.0,200518875.0,172847250.0,252688450.0
20,P62753,P62753,40S ribosomal protein S6,RPS6,28.68,226376745.0,476600000.0,,479080000.0,357528000.0,529142680.0,768449650.0,347474625.0,372998045.0,268165365.0,496389600.0,287577000.0,330175875.0,297175830.0
21,Q07020,Q07020,60S ribosomal protein L18,RPL18,21.634,120896335.0,740420000.0,,695590000.0,444904000.0,578559080.0,1006344500.0,379986150.0,588060245.0,263932575.0,553402800.0,291107250.0,531048000.0,329134890.0
22,Q9Y6Y8,Q9Y6Y8,SEC23-interacting protein,SEC23IP,111.08,83520269.0,116955500.0,,142454375.0,100840000.0,82386964.0,49918450.0,295787700.0,136396640.0,145942590.0,63763200.0,93555000.0,95607200.0,144184250.0
23,Q9ULF5,Q9ULF5,Zinc transporter ZIP10,SLC39A10,94.131,378589225.0,317255000.0,,315966875.0,242392000.0,435600000.0,1374526299.999992,249769125.0,317579580.0,265328085.0,557006400.0,192108375.0,358113750.0,165207350.0
24,P11142,P11142,Heat shock cognate 71 kDa protein,HSPA8,70.897,447373500.0,325150000.0,,215534375.0,291512000.0,359123160.0,254811090.0,290795100.0,274372895.0,365026095.0,247554000.0,264964500.0,254174125.0,238571060.0
25,O15460;E7ENX0;E7EPI9;C9JX45;A8MXE0;E7ERI1;C9JCP0,O15460,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,60.901,383513690.0,329385000.0,,160766812.5,362864000.0,478608240.0,593659410.0,216466575.0,224924715.0,187110135.0,831761999.9999964,201281625.0,242483500.0,153616680.0
26,P18669,P18669,Phosphoglycerate mutase 1,PGAM1,28.804,75941292.0,78870500.0,,104046250.0,12075200.0,19545856.0,29691764.0,245746425.0,89008190.0,147295695.0,53995320.0,81891000.0,75628375.0,46096190.0
27,P62244,P62244,40S ribosomal protein S15a,RPS15A,14.839,184847250.0,497315000.0,,548961875.0,417732000.0,425102040.0,574775880.0,252241575.0,331675170.0,211188465.0,180255600.0,254046375.0,407399250.0,245420840.0
28,P30050,P30050,60S ribosomal protein L12,RPL12,17.818,359821595.0,440945000.0,,234272500.0,344260000.0,385510840.0,361654160.0,255540825.0,241717745.0,199881750.0,196808400.0,261832500.0,366610750.0,141818740.0
29,P46782,P46782,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",RPS5,22.876,127743595.0,237470000.0,,218579375.0,300048000.0,311032920.0,321093630.0,233205300.0,203858295.0,170710965.0,79484400.0,204957000.0,121227250.0,147878920.0
30,A0A7P0T937;P27824;A0A7P0T9L0;A0A7P0T8G1;A0A7P0TB65;A0A7P0T840;A0A7P0TAE9;D6RGY2,A0A7P0T937;P27824;A0A7P0T9L0;A0A7P0T8G1;A0A7P0TB65;A0A7P0T840;A0A7P0TAE9;D6RGY2,Calnexin,CANX,67.438,174490050.0,121229000.0,,75285875.0,170392000.0,209663960.0,114356400.0,234417675.0,200779695.0,124662990.0,50801400.0,111283875.0,90889625.0,113445780.0
31,P62263,P62263,40S ribosomal protein S14,RPS14,16.273,132922195.0,256890000.0,,420236250.0,214004000.0,297819720.0,390873120.0,207924300.0,137323885.0,150044310.0,223434000.0,148759875.0,192135875.0,133254870.0
32,Q02878,Q02878,60S ribosomal protein L6,RPL6,32.728,280023205.0,546625000.0,,580142500.0,423376000.0,493002400.0,572051940.0,223891875.0,458209295.0,238983015.0,444283200.0,294661125.0,452900250.0,294063490.0
33,Q6Y7W6,Q6Y7W6,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2,150.07,35683910.5,14575500.0,,172423125.0,22636400.0,28870600.0,20633641.0,184273050.0,67902188.0,149600985.0,43207920.0,103737037.5,15796300.0,150879400.0
34,P49411,P49411,"Elongation factor Tu, mitochondrial",TUFM,49.874,320919760.0,136800000.0,,161157500.0,105148000.0,106383200.0,93014780.0,176442300.0,137371530.0,128251995.0,119818800.0,123103125.0,91998875.0,164763200.0
35,O76094;D6RDY6;R4GNC1,O76094,Signal recognition particle subunit SRP72,SRP72,74.605,355630765.0,436585000.0,,464275000.0,285432000.0,363648560.0,590976370.0,225370575.0,337300945.0,430441590.0,261608400.0,381010500.0,324887000.0,527778510.0
36,P14625;Q58FF3,P14625,Endoplasmin,HSP90B1,92.468,459874065.0,415265000.0,,213832500.0,347668000.0,423204760.0,299330740.0,207801075.0,297740935.0,275000280.0,203702400.0,255403125.0,259970500.0,212774170.0
37,P46060;H0Y4Q3;B0QYT5;B0QYT4,P46060,Ran GTPase-activating protein 1,RANGAP1,63.541,305992925.0,331125000.0,,250180000.0,275088000.0,366112120.0,449131080.0,239298975.0,189282590.0,283261545.0,377359200.0,194551875.0,207255750.0,172261110.0
38,O60506,O60506,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,69.602,247690520.0,321305000.0,,274015000.0,249532000.0,285100200.0,246230270.0,214622175.0,180204385.0,226859040.0,211554000.0,233101125.0,231565000.0,232662220.0
39,P26641,P26641,Elongation factor 1-gamma,EEF1G,50.118,136293080.0,200300000.0,,311031875.0,213204000.0,222896520.0,196532680.0,180679650.0,156381885.0,211184610.0,133221600.0,194443875.0,154515625.0,196774900.0
40,P30048,P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,27.692,188472270.0,16477000.0,,93237812.5,19971600.0,40352048.0,8969001.9,172296375.0,82031129.5,116456080.5,50721840.0,66131100.0,19613062.5,58862706.0
41,P21796;C9JI87,P21796;C9JI87,Voltage-dependent anion-selective channel protein 1,VDAC1,30.772,505028580.0,158155000.0,,76303500.0,102216000.0,37644068.0,33021433.0,111006247.5,242300480.0,13033947.75,25672680.0,8542327.5,28612125.0,57343055.0
42,A0A1C7CYX9;Q16555,A0A1C7CYX9;Q16555,Dihydropyrimidinase-related protein 2,DPYSL2,73.502,64945398.0,55024000.0,,71169875.0,44480000.0,88622820.0,84568930.0,178815375.0,57107297.0,61945224.0,32760720.0,44476425.0,52495437.5,31682700.0
43,P62826,P62826,GTP-binding nuclear protein Ran,RAN,24.423,162679965.0,273100000.0,,201547500.0,213548000.0,282646320.0,341613160.0,178652400.0,160358410.0,268739760.0,261432000.0,162573750.0,238053750.0,134478750.0
44,P62280,P62280,40S ribosomal protein S11,RPS11,18.431,173957805.0,461285000.0,,445983125.0,227856000.0,387214520.0,598305650.0,189818175.0,266460160.0,177033165.0,325105200.0,157599000.0,323342750.0,144388230.0
45,P62249,P62249,40S ribosomal protein S16,RPS16,16.445,214547480.0,333595000.0,,689513125.0,132832000.0,226749160.0,317568050.0,150807525.0,433609815.0,168513615.0,154429200.0,109134000.0,193368375.0,160361180.0
46,P07900,P07900,Heat shock protein HSP 90-alpha,HSP90AA1,84.659,182727860.0,273960000.0,,150788750.0,203068000.0,341113520.0,253952190.0,182452500.0,175527845.0,330493005.0,275601600.0,195328125.0,251317625.0,154613550.0
47,Q15907,Q15907,Ras-related protein Rab-11B,RAB11B,24.488,153569465.0,173685000.0,,125619375.0,126052000.0,201537600.0,219894760.0,194480850.0,113527040.0,84530127.0,49731120.0,71830125.0,78532000.0,68558336.0
48,P62873,P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,37.377,382947880.0,370135000.0,,154778750.0,290092000.0,387790480.0,204262780.0,169573500.0,242839235.0,184866525.0,150238800.0,190518750.0,207172375.0,124533080.0
49,P05023;Q13733;Q5TC05;Q5TC01;E9PRA5;Q5TC02;M0QXF2,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,112.89,306151160.0,282660000.0,,281181250.0,246728000.0,323752440.0,359089730.0,182027175.0,205470895.0,136840935.0,166521600.0,133356375.0,162842250.0,118081390.0
50,P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0,P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,19.576,145863900.0,99233500.0,,107419375.0,60628000.0,94028132.0,99742421.0,122255100.0,137419175.0,50947680.0,53160840.0,38397712.5,46342000.0,45056221.0
51,P48047;A0A494C0K9;H7C0C1;H7C086;H7C068,P48047;A0A494C0K9;H7C0C1,"ATP synthase subunit O, mitochondrial",ATP5O,23.277,157299975.0,125175000.0,,106238125.0,57478400.0,81533188.0,125849300.0,104005080.0,119354390.0,70523755.5,79441200.0,70224637.5,82537625.0,81628190.0
52,P27635,P27635,60S ribosomal protein L10,RPL10,24.577,142948540.0,341690000.0,,233156875.0,147768000.0,252057520.0,135751190.0,122092125.0,162399815.0,210725865.0,169380000.0,169725375.0,299820125.0,158058180.0
53,P63241;I3L397;I3L504;Q6IS14;F8WCJ1;C9J7B5;C9J4W5;Q9GZV4,P63241;I3L397;I3L504;Q6IS14,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5AL1,16.832,129043040.0,31378000.0,,67561812.5,57502000.0,52819888.0,12733397.0,121177875.0,78938969.0,108391035.0,30898800.0,72399487.5,51594987.5,73003126.0
54,P07339;A0A1B0GU92;A0A1B0GU03;A0A1B0GVF1,P07339;A0A1B0GU92;A0A1B0GU03,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,44.552,192643920.0,42263500.0,,57778000.0,63090000.0,51486468.0,34015303.0,120192075.0,84287670.0,43940446.5,11436840.0,31989937.5,16878000.0,44630495.0
55,Q14697,Q14697,Neutral alpha-glucosidase AB,GANAB,106.87,185043845.0,241640000.0,,113579375.0,170968000.0,199441880.0,165988560.0,138906375.0,169814110.0,156115935.0,169498800.0,149691375.0,201111375.0,105303030.0
56,P31930,P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,52.645,147954520.0,105663500.0,,71301562.5,77660800.0,99742720.0,124655020.0,120498150.0,96583745.0,72588879.0,79903800.0,52670250.0,56816437.5,64104005.0
57,Q9H9B4;D6RFI0;S4R2X2;D6RDG7;D6RAE9,Q9H9B4;D6RFI0;S4R2X2;D6RDG7,Sideroflexin-1,SFXN1,35.619,122047135.0,92426000.0,,108828125.0,100352000.0,95284596.0,111673360.0,106184175.0,86614945.0,51581442.0,82476000.0,62783437.50000001,59576875.0,61324613.0
58,P40926,P40926,"Malate dehydrogenase, mitochondrial",MDH2,35.503,499480765.0,29193500.0,,117796875.0,3178800.0,811643.8,2561853.3,127386825.0,201791235.0,31925182.5,3499560.0,5033475.0,6183815.0,6953744.0
59,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1;A2A3S1,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1,Voltage-dependent anion-selective channel protein 2,VDAC2,31.566,335664385.0,139215000.0,,102007500.0,93748000.0,46687124.0,110908530.0,88430235.0,177734175.0,13167138.0,63986400.0,14963400.0,40081987.5,138818260.0
60,P00505,P00505,"Aspartate aminotransferase, mitochondrial",GOT2,47.517,406687925.0,81700500.0,,354055625.0,9127200.0,24091100.0,44323330.0,127088700.0,255483485.0,123363855.0,20322000.0,38803725.0,70417800.0,4847255.7
61,P62266,P62266,40S ribosomal protein S23,RPS23,15.807,98154129.5,129747500.0,,264053125.0,76742400.0,117384520.0,157976250.0,113331225.0,187171550.0,82746033.0,64348920.0,56306812.5,131377250.0,93873570.0
62,P04843;B7Z4L4;F8WF32,P04843;B7Z4L4,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,68.569,165859050.0,198070000.0,,151134375.0,139812000.0,171094000.0,135407630.0,110604375.0,117892055.0,72300525.0,86076000.0,82606500.0,143386875.0,75403510.0
63,P00403,P00403,Cytochrome c oxidase subunit 2,MT-CO2,25.565,150212965.0,68937000.0,,37933437.5,33089600.0,66698588.0,43365043.0,103787250.0,76488550.0,19110391.5,11330640.0,20134912.5,15865537.5,41423403.0
64,C9K0J5;Q70E73,C9K0J5;Q70E73,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1,141.18,53294986.5,282955000.0,,83676250.0,135876000.0,184394320.0,75439641.0,84579255.0,63334865.0,66948628.5,44061480.0,78036750.0,109297737.5,58843624.0
65,P34897,P34897,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,55.992,166664610.0,41609500.0,,78706250.0,62807200.0,52442852.0,76153755.0,103803150.0,100780170.0,78155499.0,44466120.0,45897975.0,42466875.0,54051410.0
66,P27797,P27797,Calreticulin,CALR,48.141,301092435.0,27952000.0,,81881187.5,107612000.0,198130240.0,63471482.99999999,78350827.5,211569455.0,146358930.0,74469240.0,50147775.0,26573062.5,78440180.0
67,P62273,P62273,40S ribosomal protein S29,RPS29,6.6767,39622523.5,12512000.0,,115601500.0,33166000.0,46867656.0,75314078.0,83358930.0,79469661.0,46314741.0,136457640.0,69172987.5,21997225.0,22097285.0
68,O75947;F5H608,O75947,"ATP synthase subunit d, mitochondrial",ATP5H,18.491,53004889.0,1160200.0,,7254800.0,1229280.0,1100519.2,556972.11,66898455.0,36740892.0,6453347.1,970743.6,5396854.5,1327366.25,7657804.0
69,P35221;G3XAM7;E5RIB1;E5RJ41,P35221;G3XAM7,Catenin alpha-1,CTNNA1,100.07,189781305.0,173290000.0,,83528375.0,141596000.0,176195360.0,219837500.0,114523725.0,107490785.0,94948650.0,118062000.0,87898500.0,113919250.0,78292130.0
70,E9PI68;Q15005;E9PL01;E9PRB9;H0YE04,E9PI68;Q15005;E9PL01;E9PRB9,Signal peptidase complex subunit 2,SPCS2,28.503,76687394.0,160370000.0,,101504375.0,133408000.0,164366400.0,105202980.0,89999962.5,105661950.0,65055052.5,99324000.0,66777075.0,104316625.0,51970814.0
71,P07237,P07237,Protein disulfide-isomerase,P4HB,57.116,314293070.0,199035000.0,,87716125.0,155080000.0,215181560.0,168054010.0,108795750.0,205617495.0,140969640.0,102902400.0,88580250.0,117247000.0,74706030.0
72,Q9NVI7,Q9NVI7,ATPase family AAA domain-containing protein 3A,ATAD3A,71.368,110141150.0,90908000.0,,56288750.0,56689600.0,72381232.0,101701940.0,87107355.0,73675296.0,40167558.0,95904000.0,40399762.5,52964875.0,63518056.0
73,Q15042,Q15042,Rab3 GTPase-activating protein catalytic subunit,RAB3GAP1,110.52,13540840.25,8591150.0,,5384312.5,5452960.0,6553602.0,18791096.0,69215880.0,2145344.4,26597572.5,6357960.0,7776337.500000001,2393442.5,5700550.1
74,Q9BYD1,Q9BYD1,"39S ribosomal protein L13, mitochondrial",MRPL13,20.692,18106399.5,26698500.0,,56419562.5,22837200.0,34357224.0,11997606.0,88307010.0,31535126.0,19918399.5,15177960.0,21382312.5,16272625.0,34507165.0
75,P49327;A0A0U1RQF0,P49327;A0A0U1RQF0,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,273.42,58381043.0,100805000.0,,73618562.5,108848000.0,124262160.0,105027110.0,97788975.0,89363695.0,75720681.0,38908800.0,73127812.5,75757425.0,60367223.0
76,P62857,P62857,40S ribosomal protein S28,RPS28,7.8409,134773065.0,180985000.0,,208481875.0,168364000.0,200196920.0,109845130.0,112643550.0,171474355.0,188112435.0,152870400.0,147170250.0,157999250.0,98683550.0
77,P49755;G3V2K7,P49755,Transmembrane emp24 domain-containing protein 10,TMED10,24.976,131267920.0,94210000.0,,122049375.0,67381200.0,95693576.0,80266250.0,114476025.0,91500390.0,72562665.0,48235680.0,55244025.0,62704162.5,45865890.0
78,P23284,P23284,Peptidyl-prolyl cis-trans isomerase B,PPIB,23.742,225019760.0,102261500.0,,173158125.0,25982400.0,80586484.0,38317165.0,105949650.0,226500665.0,162199125.0,90698400.0,147376125.0,140037375.0,31118794.0
79,Q9HCE9;M0QYD2,Q9HCE9,Anoctamin-8,ANO8,136.03,0.0,0.0,,79233875.0,95786000.0,106795084.0,229874360.0,51816629.25,0.0,49520944.5,1730376.0,0.0,24142500.0,2029008.8
80,P23396;E9PL09;E9PPU1;F2Z2S8;H0YCJ7;E9PQ96;E9PJH4;H0YF32,P23396;E9PL09;E9PPU1;F2Z2S8;H0YCJ7,40S ribosomal protein S3,RPS3,26.688,215616765.0,397555000.0,,437250625.0,176824000.0,303801960.0,283203870.0,81449340.0,346756645.0,199095330.0,153666000.0,163930500.0,250955125.0,190625890.0
81,P54707,P54707,Potassium-transporting ATPase alpha chain 2,ATP12A,115.51,107431975.0,200305000.0,,104186250.0,121388000.0,168069000.0,214479600.0,111900225.0,7358550.35,38790552.0,453790800.0,45141637.5,94981525.0,35367171.0
82,P20700,P20700,Lamin-B1,LMNB1,66.408,121275140.0,104894500.0,,85208375.0,85692000.0,94734288.0,119284850.0,90574350.0,59428708.0,47061840.0,55628280.0,56852212.5,69166087.5,49863898.0
83,P39656;A0A0C4DGS1;U3KQ84,P39656;A0A0C4DGS1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,50.8,159644730.0,177525000.0,,91245000.0,95428000.0,134673000.0,154708340.0,88622625.0,112020725.0,53989275.0,63203040.0,67014000.0,123587125.0,57920779.0
84,Q15084,Q15084,Protein disulfide-isomerase A6,PDIA6,48.121,213128160.0,202800000.0,,84017937.5,176132000.0,204122160.0,128340110.0,92669175.0,128099080.0,150190800.0,108187200.0,120467250.0,146740000.0,83585740.0
85,P60953;A0A590UJK8;A0A8Q3SI43,P60953;A0A590UJK8;A0A8Q3SI43,Cell division control protein 42 homolog,CDC42,21.258,166583095.0,148375000.0,,123628750.0,95464000.0,108556360.0,84193877.0,94541400.0,96719350.0,113510475.0,51516720.0,91364625.0,86739000.0,71015966.0
86,A0A0C4DG17;A0A8V8TLA4;P08865;A0A8I5KQE6,A0A0C4DG17;A0A8V8TLA4;P08865;A0A8I5KQE6,40S ribosomal protein SA,RPSA,33.313,160603730.0,30979500.0,,171784375.0,44360400.0,69289440.0,41531087.0,70191345.0,191177395.0,123118677.0,103734000.0,40508437.5,32992212.5,29863659.0
87,Q12931,Q12931,"Heat shock protein 75 kDa, mitochondrial",TRAP1,80.109,103782980.0,53625000.0,,72984187.5,39158400.0,50433768.0,40507360.0,78459345.0,53864505.0,52544806.5,56671560.0,46180462.5,35399212.5,57641787.0
88,Q02978;I3L1P8,Q02978;I3L1P8,Mitochondrial 2-oxoglutarate/malate carrier protein,SLC25A11,34.061,154696290.0,108622000.0,,152608750.0,97372000.0,148655760.0,128430090.0,69620535.0,130910135.0,74189089.5,66952440.0,57531937.5,62708150.0,110484780.0
89,P51572;A0A2R8Y5M6;C9JSP1;C9JQ75;C9J0M4;C9JMD7;C9JM14,P51572;A0A2R8Y5M6;C9JSP1;C9JQ75;C9J0M4;C9JMD7,B-cell receptor-associated protein 31,BCAP31,27.991,137117820.0,142475000.0,,210345625.0,100760000.0,183290800.0,163113290.0,100658925.0,123536155.0,57616059.0,116924400.0,59599462.5,90074000.0,45763242.0
90,H0YCR0;A0A8V8TR21;A0A8V8TQF7;H0YEN4;P52948;A0A8V8TRC7;A0A8V8TPX4;A0A8V8TPW9;A0A8V8TRD0,H0YCR0;A0A8V8TR21;A0A8V8TQF7;H0YEN4;P52948;A0A8V8TRC7;A0A8V8TPX4;A0A8V8TPW9,Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96,NUP98,191.43,67621967.0,77211000.0,,32983562.5,52005600.0,82993900.0,98859390.0,84078405.0,37317030.0,39832944.0,44552520.0,42964762.5,49740075.0,38846017.0
91,P23528;E9PP50;E9PS23,P23528;E9PP50;E9PS23,Cofilin-1,CFL1,18.502,142862230.0,69846000.0,,65268000.0,53378000.0,74715564.0,81080569.0,100718550.0,84353640.0,167206770.0,90428400.0,56306475.0,60648787.5,25875521.0
92,P60842,P60842,Eukaryotic initiation factor 4A-I,EIF4A1,46.153,122114265.0,134425000.0,,162500625.0,81136000.0,115758280.0,116254160.0,82060695.0,108890815.0,145364340.0,114868800.0,97675875.0,111733375.0,114209060.0
93,P62820;P59190,P62820,Ras-related protein Rab-1A,RAB1A,22.677,269642030.0,232000000.0,,291606875.0,176560000.0,246869040.0,196810800.0,119703150.0,167915640.0,153930150.0,107816400.0,118189125.0,140722500.0,124023130.0
94,Q9H0U4,Q9H0U4,Ras-related protein Rab-1B,RAB1B,22.171,78988514.5,53268000.0,,101478125.0,42884400.0,62402120.0,90901477.0,114301125.0,26248363.5,38123251.5,11785932.0,19089000.0,27192212.5,28282485.0
95,A0A7P0TA85;P35613;A0A7P0TB04;A0A087WUV8;I3L192;A0A7P0T8A7;R4GMX5;R4GN83;A0A2R8YDZ0,A0A7P0TA85;P35613;A0A7P0TB04;A0A087WUV8;I3L192;A0A7P0T8A7,Basigin,BSG,28.991,279001870.0,64646500.0,,178561250.0,80362000.0,101344760.0,79884653.0,95718000.0,239745975.0,56578293.0,83012400.0,30460050.0,33663562.5,27351744.0
96,P61353,P61353,60S ribosomal protein L27,RPL27,15.798,352451680.0,483590000.0,,135279375.0,203736000.0,342265440.0,579524370.0,73945335.0,429662610.0,140499330.0,218030400.0,140389875.0,265723375.0,200410350.0
97,P22695,P22695,"Cytochrome b-c1 complex subunit 2, mitochondrial",UQCRC2,48.442,84429880.5,58991000.0,,43773187.5,39458800.0,53527980.0,51242792.0,68195895.0,50594225.5,39066570.0,31874040.0,34971412.5,35501800.0,35241822.0
