,Protein IDs,Majority protein IDs,Protein names,Gene names,Mol. weight [kDa],RIPA sample avg,SMA200P sample avg,SMA200CB sample avg,SMA300CB sample avg,ChloroSMA20 sample avg,ChloroSMA40 sample avg,ChloroSMA60 sample avg,ChloroSMA80 sample avg,NP40 sample avg,AASTY645 sample avg,AASTY650 sample avg,AASTY1150 sample avg,AASTY1145 sample avg,AASTY80 sample avg
12,P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2;A0A8I5KWR0,P35232;C9JW96;C9JZ20;E9PCW0;E7ESE2,Prohibitin,PHB ,29.804,456891575.0,329319119.96102315,,239249378.44987503,307429616.75593865,206417984.10028553,283995865.1069263,473830654.72378767,411779000.4089832,150335906.61263132,283136848.5901658,211465601.1271339,255561660.93304917,276818747.24038094
13,P62979;P0CG47;P0CG48,P62979;P0CG47;P0CG48,Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a;Polyubiquitin-B;Ubiquitin;Polyubiquitin-C;Ubiquitin,RPS27A;UBB;UBC,17.965,169090880.0,316254114.4641187,,640427251.8307767,492633522.0991433,473672958.00557387,593291298.4885081,594320081.0513155,220873879.88162747,381475849.66635865,355151862.79872626,458563463.3879729,325616526.03571874,280635050.4889308
14,P30101,P30101,Protein disulfide-isomerase A3,PDIA3,56.782,542175445.0,495147512.04487354,,424566094.7758357,526647158.6053342,508729359.6074954,496619321.97254765,630071235.1174319,489936017.9673548,468811243.0471379,427428749.7862269,448218402.43852866,492553138.27100956,406390708.73039687
15,P07195,P07195,L-lactate dehydrogenase B chain,LDHB,36.638,564174905.0,423068632.54521585,,749592223.8148038,521742009.9419499,379783098.9731801,147280111.6668271,652462776.9818256,530549362.9866141,1041117412.352164,297091758.0101357,665955124.5836885,483415804.14051706,766347557.1158091
16,Q99623;F5GY37;J3KPX7;A0A7I2V5F0;F5GWA7;F5H3X6;F5H0C5;F5H2D2;A0A3G2KQ93;U3KPZ5,Q99623;F5GY37;J3KPX7;A0A7I2V5F0;F5GWA7;F5H3X6,Prohibitin-2,PHB2,33.296,342046530.0,341012839.75701284,,261680537.07672992,242148536.1290432,271749384.3670732,305399038.90783966,413001423.3989051,484163201.0643916,138949043.34315428,252270777.04574516,218240242.81084073,268783016.9808575,437845904.44796705
17,P62241,P62241,40S ribosomal protein S8,RPS8,24.205,386457820.0,888053257.9325664,,876674933.4171308,804012589.53945,763140066.5063337,1024760745.1957153,568438291.3210111,677348940.6151402,423079000.35825324,499344834.27829885,747675874.7007581,774155610.445294,662916621.632072
18,P05141,P05141,"ADP/ATP translocase 2;ADP/ATP translocase 2, N-terminally processed",SLC25A5,32.852,948585259.9999952,736671954.5717394,,1012115628.6702397,743895732.3292868,813055097.393963,659219552.7884414,414024330.1808628,958094160.528293,756280157.1709139,749456615.7465591,941838674.7708571,688940808.7030946,1101263985.7219133
19,P08670;B0YJC4;A0A1B0GTT5;A0A1B0GVG8,P08670;B0YJC4,Vimentin,VIM,53.651,221457075.0,250848105.5405659,,301975054.75551647,289870105.6957013,308830978.1529797,231543016.63708246,440597425.04402876,282226604.1448655,375785604.05939555,384080075.7789892,388515237.7935063,281815243.2148393,500189711.61241835
20,P62753,P62753,40S ribosomal protein S6,RPS6,28.68,226376745.0,514610051.22517955,,595467053.1576042,514591546.7495516,592000497.054877,845351126.6732392,491304375.5210768,518092499.70482326,443259300.2879868,802413111.0433592,557194660.7966117,538328463.5237031,588251234.695852
21,Q07020,Q07020,60S ribosomal protein L18,RPL18,21.634,120896335.0,799470361.1585133,,864575702.4002211,640352189.2412972,647287160.6871939,1107052956.4252095,537273356.672903,816812866.4295835,436262783.29308707,894574871.0450538,564034694.7745627,865836287.6976867,651513299.1265926
22,Q9Y6Y8,Q9Y6Y8,SEC23-interacting protein,SEC23IP,111.08,83520269.0,126282995.9002654,,177062049.95127806,145139434.04215834,92173860.62837017,54913965.99540615,418222744.2804366,189454280.30042055,241233279.04636955,103073125.79087055,181267439.6451281,155880792.55579585,285408685.78105897
23,Q9ULF5,Q9ULF5,Zinc transporter ZIP10,SLC39A10,94.131,378589225.0,342556885.86119246,,392727444.1672938,348875820.0748398,487345712.7236542,1512080012.4601421,353155756.28744334,441116516.9978515,438569467.40251666,900400085.527702,372219478.0678332,583879197.1224775,327023323.59374505
24,P11142,P11142,Heat shock cognate 71 kDa protein,HSPA8,70.897,447373500.0,351081532.00979257,,267896007.21260753,419574441.655074,401784050.42647135,280310937.76975,411163563.4115414,381102638.27736413,603363568.0601639,400170703.1960938,513381823.65294796,414412973.62725735,472244733.38796824
25,O15460;E7ENX0;E7EPI9;C9JX45;A8MXE0;E7ERI1;C9JCP0,O15460,Prolyl 4-hydroxylase subunit alpha-2,P4HA2,60.901,383513690.0,355654283.9337091,,199823286.4759875,522271673.8821275,535462979.42656964,653069008.6249248,306068322.1157842,312419352.8675062,309280460.2745427,1344542138.0053966,389993103.6434269,395352234.5775561,304079916.86227506
26,P18669,P18669,Phosphoglycerate mutase 1,PGAM1,28.804,75941292.0,85160621.16062847,,129323106.53669405,17379885.897916205,21867743.625146724,32663123.927918926,347467944.9504036,123631950.00472951,243469870.54473913,87283361.09979281,158667862.75430694,123306728.3081916,91246117.43247956
27,P62244,P62244,40S ribosomal protein S15a,RPS15A,14.839,184847250.0,536977124.6853759,,682325937.2174232,601243415.9192669,475600681.0470142,632295736.9329306,356651624.52028793,460695224.0602821,349080319.2455297,291382931.4292389,492227416.4649252,664235726.7720089,485803681.1072191
28,P30050,P30050,60S ribosomal protein L12,RPL12,17.818,359821595.0,476111475.1101275,,291186347.1880789,495494858.81945086,431306370.7127975,397846171.9932645,361316529.0753699,335744791.1826536,330391080.3147092,318140510.0418418,507313418.7470793,597732955.9852681,280726224.9692716
29,P46782,P46782,"40S ribosomal protein S5;40S ribosomal protein S5, N-terminally processed",RPS5,22.876,127743595.0,256408831.02065334,,271680755.4318296,431860342.180499,347981083.7417799,353226606.17790663,329735687.2741581,283158196.2905818,282173735.96096945,128486424.138247,397114324.4866284,197652476.06204972,292722181.5969661
30,A0A7P0T937;P27824;A0A7P0T9L0;A0A7P0T8G1;A0A7P0TB65;A0A7P0T840;A0A7P0TAE9;D6RGY2,A0A7P0T937;P27824;A0A7P0T9L0;A0A7P0T8G1;A0A7P0TB65;A0A7P0T840;A0A7P0TAE9;D6RGY2,Calnexin,CANX,67.438,174490050.0,130897318.29621755,,93575724.57761073,245245918.73573425,234570321.43862197,125800449.7526879,331449899.1889774,278882035.62172025,206059532.4053436,82120393.7781092,215618011.81164533,148189119.43973964,224562745.07934913
31,P62263,P62263,40S ribosomal protein S14,RPS14,16.273,132922195.0,277377624.9669248,,522327881.39246535,308016852.8635269,333198263.7891624,429989176.7512474,293990153.57497555,190742219.16854197,248013146.1525383,361180756.1094389,288229615.3404874,313263985.0701759,263774284.0887674
32,Q02878,Q02878,60S ribosomal protein L6,RPL6,32.728,280023205.0,590219721.4665626,,721081541.4679916,609366848.7409047,551567047.7559047,629299202.614787,316567167.5481857,636450518.2179568,395022839.76759434,718183186.5460093,570920503.3584847,738421896.245451,582090444.8099676
33,Q6Y7W6,Q6Y7W6,PERQ amino acid-rich with GYF domain-containing protein 2,GIGYF2,150.07,35683910.5,15737932.861167865,,214311367.9134492,32580665.25934067,32300190.84885108,22698522.49489754,260548970.31866473,94315814.21920548,247280359.76418358,69845543.71991794,200995640.89568317,25754752.397822734,298661547.74487996
34,P49411,P49411,"Elongation factor Tu, mitochondrial",TUFM,49.874,320919760.0,147710144.79144895,,200308887.07365492,151339956.4722815,119020652.95184354,102323098.29311976,249476847.45901227,190808397.84556007,211991916.12324128,193686926.6992742,238518393.25599015,149997673.28445548,326144141.1047447
35,O76094;D6RDY6;R4GNC1,O76094,Signal recognition particle subunit SRP72,SRP72,74.605,355630765.0,471403754.1211603,,577065346.298628,410823472.2086606,406847030.8864337,650117467.3145612,318657944.0475718,468509398.6158804,711490978.7035642,422889621.6179298,738226688.1824603,529705326.0745513,1044722782.9848647
36,P14625;Q58FF3,P14625,Endoplasmin,HSP90B1,92.468,459874065.0,448383430.3861187,,265780680.98088712,500400007.48283523,473478019.7204845,329285826.7382052,293815922.20002663,413560734.02100885,454556954.7797511,329284651.6345201,494856186.69354504,423863554.0119,421180511.9342482
37,P46060;H0Y4Q3;B0QYT5;B0QYT4,P46060,Ran GTPase-activating protein 1,RANGAP1,63.541,305992925.0,357533053.3192144,,310958393.9195321,395935309.7162758,409603241.6395042,494077217.0329816,338351709.78372526,262912611.79050732,468212269.8253523,610000631.8682607,376953880.1711187,337915874.2411229,340986044.0116478
38,O60506,O60506,Heterogeneous nuclear ribonucleoprotein Q,SYNCRIP,69.602,247690520.0,346929883.56883407,,340583836.87689096,359152451.9576344,318967768.9776317,270871404.7375204,303460471.85848534,250303028.4848285,374982725.05998087,341976752.3204894,451644958.65692866,377550390.8511374,460548350.05282205
39,P26641,P26641,Elongation factor 1-gamma,EEF1G,50.118,136293080.0,216274429.8371873,,386593541.88096833,306865409.51531464,249374801.20069388,216200400.98412585,255468158.61047906,217213689.97578043,349073947.1899788,215352534.61026174,376744624.829537,251926822.32357126,389510404.94158894
40,P30048,P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",PRDX3,27.692,188472270.0,17791082.2787186,,115888881.71544677,28745207.466445554,45145540.84577388,9866561.669068914,243614804.74702367,113940846.35554877,192494063.34301028,81991785.1466741,128132277.03400065,31977714.303382576,116517078.3977921
41,P21796;C9JI87,P21796;C9JI87,Voltage-dependent anion-selective channel protein 1,VDAC1,30.772,505028580.0,170768259.86470473,,94840570.0313335,147119916.60108346,42115874.998341836,36326004.69128313,156954929.03093454,336554207.30925953,21544238.42040593,41499852.18791979,16551182.026991267,46650050.641641006,113508971.7928344
42,A0A1C7CYX9;Q16555,A0A1C7CYX9;Q16555,Dihydropyrimidinase-related protein 2,DPYSL2,73.502,64945398.0,59412302.68278279,,88459789.05369677,64020250.16060296,99150485.25362745,93032042.18656395,252832206.518511,79321762.27389006,102391286.23647057,52957659.17581754,86175273.20098944,85590106.21651137,62715017.5486959
43,P62826,P62826,GTP-binding nuclear protein Ran,RAN,24.423,162679965.0,294880413.3226952,,250511179.54471537,307360530.15504587,316222388.1292884,375799598.18109816,252601771.47422382,222737064.17306,444208736.5650725,422604471.25863934,314994681.37466884,388129839.81205684,266196920.2806796
44,P62280,P62280,40S ribosomal protein S11,RPS11,18.431,173957805.0,498073641.37517196,,554329667.7001116,327954094.4378226,433212433.9447834,658180214.308725,268389382.19136283,370111887.22489727,292623907.0644627,525532112.1723209,305355857.20306283,527187535.4279862,285812458.479711
45,P62249,P62249,40S ribosomal protein S16,RPS16,16.445,214547480.0,360200042.04461557,,857022519.5316874,191185653.53716755,253685103.28211638,349348208.9072766,213231101.1027184,602281958.2067674,278541664.2969505,249634591.0710803,211452522.66828507,315273489.3420824,317430465.76931834
46,P07900,P07900,Heat shock protein HSP 90-alpha,HSP90AA1,84.659,182727860.0,295809000.4902438,,187421166.84440738,292276622.293465,381635012.68153,279366084.6063714,257974842.2629689,243807336.80212924,546282694.4351077,445509610.32327724,378457902.938737,409755651.96177995,306053193.1153649
47,Q15907,Q15907,Ras-related protein Rab-11B,RAB11B,24.488,153569465.0,187536816.5065995,,156137177.61282048,181427171.16106844,225478616.42014402,241900407.02802262,274982072.6047498,157688515.3317344,139722610.8870348,80390287.61857747,139174419.84008878,128040883.96053602,135709306.50952697
48,P62873,P62873,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1,GNB1,37.377,382947880.0,399654199.14022624,,192380492.09718114,417530629.71199715,433856813.27605134,224704079.4545329,239764853.39734754,337302535.42631036,305571923.9439128,242860815.18915996,369139501.0089279,337779937.1874351,246509744.98995194
49,P05023;Q13733;Q5TC05;Q5TC01;E9PRA5;Q5TC02;M0QXF2,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,112.89,306151160.0,305202847.41777015,,349491046.04799116,355116643.02215034,362211578.55331063,395025110.4054628,257373463.00104865,285398089.97427124,226188855.89066988,269181939.1701958,258384572.24740067,265502796.77230424,233738805.2793608
50,P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0,P13073;H3BN72;H3BNV9;Q86WV2;H3BPG0,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",COX4I1,19.576,145863900.0,107147621.73364216,,133515694.0036771,87262134.1442679,105197904.05329163,109723998.14284065,172860005.41699064,190874576.52257815,84213086.1608331,85934425.31849629,74397467.08465321,75557360.62368411,89187527.91564232
51,P48047;A0A494C0K9;H7C0C1;H7C086;H7C068,P48047;A0A494C0K9;H7C0C1,"ATP synthase subunit O, mitochondrial",ATP5O,23.277,157299975.0,135158021.74173698,,132047472.7117375,82728901.68235613,91218663.0314318,138443484.9388486,147055776.75037315,165782676.59779385,116571021.45391169,128416591.3971963,136063708.4028887,134571772.8442321,161580716.55251235
52,P27635,P27635,60S ribosomal protein L10,RPL10,24.577,142948540.0,368940638.6972967,,289799693.74569154,212683100.84829086,281999889.1913607,149336292.12236997,172629570.37270346,225572565.94991228,348315672.57942045,273802538.8697188,328851308.52503055,488835555.3679825,312871741.75227916
53,P63241;I3L397;I3L504;Q6IS14;F8WCJ1;C9J7B5;C9J4W5;Q9GZV4,P63241;I3L397;I3L504;Q6IS14,Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A;Eukaryotic translation initiation factor 5A-1-like,EIF5A;EIF5AL1,16.832,129043040.0,33880474.58527839,,83975188.68531685,82762869.2611284,59094458.13439759,14007673.11212601,171336885.9779217,109645850.21707433,179163085.9249504,49947868.03653128,140277587.8439897,84121986.03668322,144507643.86241254
54,P07339;A0A1B0GU92;A0A1B0GU03;A0A1B0GVF1,P07339;A0A1B0GU92;A0A1B0GU03,Cathepsin D;Cathepsin D light chain;Cathepsin D heavy chain,CTSD,44.552,192643920.0,45634120.646150604,,71814509.88841124,90805701.04839121,57602638.75822685,37419334.78033546,169943034.97833094,117075170.31247506,72630600.7859431,18487636.25367077,61982086.0994353,27518387.911754787,88344815.21877822
55,Q14697,Q14697,Neutral alpha-glucosidase AB,GANAB,106.87,185043845.0,260911399.03074354,,141172196.14831024,246074957.9464471,223133942.0467069,182599622.77407318,196403722.50282022,235870986.22742063,258049133.64522234,273994578.90760833,290034442.6616294,327897904.4150008,208444399.44767493
56,P31930,P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",UQCRC1,52.645,147954520.0,114090430.43984842,,88623468.53846486,111777514.47105563,111591338.30898961,137129689.1116746,170375803.23223615,134154359.6506068,119984531.61253445,129164383.66594781,102051214.39761432,92635191.78154825,126892083.01428507
57,Q9H9B4;D6RFI0;S4R2X2;D6RDG7;D6RAE9,Q9H9B4;D6RFI0;S4R2X2;D6RDG7,Sideroflexin-1,SFXN1,35.619,122047135.0,99797206.45098288,,135266683.840731,144437053.59974882,106603625.6868812,122848908.44232441,150136861.9035008,120307744.15143591,85260652.0934028,133322341.45600975,121646015.3679111,97135890.31995058,121390354.37200695
58,P40926,P40926,"Malate dehydrogenase, mitochondrial",MDH2,35.503,499480765.0,31521755.204452958,,146414289.94619825,4575260.144121508,908060.4366132577,2818227.028311556,180115899.12857002,280287059.841489,52770178.044865265,5657033.964617506,9752606.763591055,10082273.962823078,13764741.546305677
59,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1;A2A3S1,P45880;A0A0A0MR02;Q5JSD2;Q5JSD1,Voltage-dependent anion-selective channel protein 2,VDAC2,31.566,335664385.0,150317747.1282278,,126789065.34393905,134931888.76025644,52233171.9944849,122007539.1968397,125034055.03022578,246871918.6148134,21764392.939689886,103433928.2862993,28992327.576141413,65350852.014403746,274786858.8213577
60,P00505,P00505,"Aspartate aminotransferase, mitochondrial",GOT2,47.517,406687925.0,88216320.79337554,,440069424.0473904,13136817.159753943,26952925.389799874,48758922.531111546,179694371.6085325,354865338.1734204,203912149.68468678,32850485.2692787,75184136.38441183,114811253.48337281,9595006.937177584
61,P62266,P62266,40S ribosomal protein S23,RPS23,15.807,98154129.5,140095190.14129037,,328201837.3148671,110455657.50730793,131328839.67429763,173785492.54998463,160242281.6505339,259980387.33185938,136773623.5780734,104019941.37161663,109097234.10243487,214201334.7718679,185820103.39739773
62,P04843;B7Z4L4;F8WF32,P04843;B7Z4L4,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,RPN1,68.569,165859050.0,213866581.71668342,,187850757.51871568,201231996.75031972,191418566.0531242,148958350.85701856,156386709.93392396,163751500.28008458,119507901.85732634,139141736.5435702,160054179.39228553,233782180.80959204,149259136.78074366
63,P00403,P00403,Cytochrome c oxidase subunit 2,MT-CO2,25.565,150212965.0,74434899.49918213,,47148935.969489776,47625999.768756464,74621834.03700957,47704736.358827755,146747780.64239907,106242229.95135902,31588190.9825286,18315964.098587736,39012388.823191546,25867639.255450424,81996466.4019071
64,C9K0J5;Q70E73,C9K0J5;Q70E73,Ras-associated and pleckstrin homology domains-containing protein 1,RAPH1,141.18,53294986.5,305521374.4112897,,104004446.03569129,195566895.47711527,206298855.14828643,82989152.92000549,119589043.54472765,87971824.42690155,110661577.13599731,71225322.29517853,151200062.75161082,178202247.8019995,116479306.11307949
65,P34897,P34897,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,55.992,166664610.0,44927962.49780551,,97827040.89627136,90398665.82479817,58672633.34527344,83774730.83584309,146770262.1101344,139983173.89566222,129185779.82804921,71879422.30302031,88929596.63455826,69239242.7805428,106993252.67990914
66,P27797,P27797,Calreticulin,CALR,48.141,301092435.0,30181242.450369738,,101773293.45760679,154886401.98477533,221666489.95617232,69823298.98344196,110782490.59610356,293868960.63258755,241921461.04586786,120379424.84176657,97163794.32579726,43325503.13297218,155270140.02035385
67,P62273,P62273,40S ribosomal protein S29,RPS29,6.6767,39622523.5,13509863.53531147,,143685573.48584533,47735962.60851075,52435149.71764704,82851024.3861211,117863590.8960407,110382978.86570667,76555149.79974888,220583588.85446984,134026084.51423708,35864923.00818522,43740956.94349076
68,O75947;F5H608,O75947,"ATP synthase subunit d, mitochondrial",ATP5H,18.491,53004889.0,1252728.874174262,,9017271.389429297,1769307.8488629947,1231251.8684344944,612710.2806463264,94589651.42303514,51032923.18238542,10666948.433335187,1569205.7047557607,10456672.517260307,2164176.997776471,15158408.602943363
69,P35221;G3XAM7;E5RIB1;E5RJ41,P35221;G3XAM7,Catenin alpha-1,CTNNA1,100.07,189781305.0,187110314.26103935,,103820646.48136699,203799715.4168331,197125925.8443545,241837416.81713074,161928391.730684,149304186.0202879,156943728.2189255,190847061.8965447,170307691.12978774,185737297.79098064,154977079.19068706
70,E9PI68;Q15005;E9PL01;E9PRB9;H0YE04,E9PI68;Q15005;E9PL01;E9PRB9,Signal peptidase complex subunit 2,SPCS2,28.503,76687394.0,173159911.69740254,,126163711.83070551,192014692.7478804,183891782.26772553,115731014.61153929,127253537.93239672,146763942.9562856,107531623.44939007,160557110.4657926,129383885.54583606,170080895.39015624,102874771.15365832
71,P07237,P07237,Protein disulfide-isomerase,P4HB,57.116,314293070.0,214908542.89887455,,109025762.85412471,223207293.05095115,240743367.13312158,184871769.6669597,153829442.9790296,285601716.67278844,233013327.385695,166341589.18282768,171628615.47352207,191162959.3251282,147878494.64986894
72,Q9NVI7,Q9NVI7,ATPase family AAA domain-containing protein 3A,ATAD3A,71.368,110141150.0,98158142.1250076,,69963463.48923999,81593578.54101884,80979529.60710782,111879613.14557716,123163596.91464593,102334633.60681358,66394270.018267,155028685.1326102,78276537.97922355,86355490.93184046,125732213.37509269
73,Q15042,Q15042,Rab3 GTPase-activating protein catalytic subunit,RAB3GAP1,110.52,13540840.25,9276315.865680236,,6692370.162926136,7848468.150084567,7332116.247927378,20671587.494411636,97866325.34546024,2979873.1061009825,43963997.27350696,10277633.664140498,15067038.516823221,3902339.089908766,11284079.310119407
74,Q9BYD1,Q9BYD1,"39S ribosomal protein L13, mitochondrial",MRPL13,20.692,18106399.5,28827772.66604166,,70126055.40268072,32869677.53974195,38438580.84822368,13198248.902165046,124859823.65527694,43802139.11803898,32923773.82599944,24535151.62866358,41429288.01845992,26531366.695847776,68305966.93245035
75,P49327;A0A0U1RQF0,P49327;A0A0U1RQF0,Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase,FASN,273.42,58381043.0,108844452.81945914,,91503357.41332118,156665381.95776328,139023486.98296776,115537544.67808558,138266646.93924394,124125744.74863377,125161189.54209414,62896022.10635326,141688753.55378112,123517135.22607358,119495227.67349496
76,P62857,P62857,40S ribosomal protein S28,RPS28,7.8409,134773065.0,195419009.90555838,,259130182.3140645,242327009.8480161,223978674.61542788,120837720.9945615,159269958.17098066,238177058.58812812,310937194.71777946,247114792.99816662,285149638.28158206,257606627.04504812,195341324.1301281
77,P49755;G3V2K7,P49755,Transmembrane emp24 domain-containing protein 10,TMED10,24.976,131267920.0,101723484.947386,,151699886.59718078,96982043.1682019,107061189.16160508,88298777.76811516,161860947.32747802,127093603.87952225,119941201.63478826,77972910.89920485,107038030.75668268,102234711.8945792,90790245.03077567
78,P23284,P23284,Peptidyl-prolyl cis-trans isomerase B,PPIB,23.742,225019760.0,110417112.3654295,,215224927.82843384,37396577.063238546,90159498.34911239,42151699.338628635,149805260.25440463,314608339.8765663,268104237.30455908,146613839.8359978,285548531.27647215,228321057.43535206,61598781.41080945
79,Q9HCE9;M0QYD2,Q9HCE9,Anoctamin-8,ANO8,136.03,0.0,0.0,,98482846.40667106,137865190.68982723,119481465.39798558,252878700.92632586,73265023.81369117,0.0,81854788.40144113,2797150.4427868025,0.0,39362642.502638936,4016366.1082691317
80,P23396;E9PL09;E9PPU1;F2Z2S8;H0YCJ7;E9PQ96;E9PJH4;H0YF32,P23396;E9PL09;E9PPU1;F2Z2S8;H0YCJ7,40S ribosomal protein S3,RPS3,26.688,215616765.0,429261013.24974036,,543475705.8530322,254503523.25536102,339891144.9105672,311545083.77057827,115163566.62102696,481643320.670241,329091180.98232347,248400879.3125175,317623451.60328865,409164621.2935722,377338611.8160944
81,P54707,P54707,Potassium-transporting ATPase alpha chain 2,ATP12A,115.51,107431975.0,216279828.59978932,,129497117.94907206,174714256.44099084,188034220.82587656,235943332.79795974,158218949.55435374,10220991.225397179,64118171.77548177,733552208.9722564,87464155.32054408,154860673.6224692,70008324.7296704
82,P20700,P20700,Lamin-B1,LMNB1,66.408,121275140.0,113260100.75165673,,105908783.42990331,123336854.24375874,105987945.60314031,131222107.19016963,128065680.9543357,82546191.04491024,77790054.16551533,89923038.71151023,110153973.57742235,112770424.5860513,98704189.92435564
83,P39656;A0A0C4DGS1;U3KQ84,P39656;A0A0C4DGS1,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,DDOST,50.8,159644730.0,191683066.18495595,,113411938.01737832,137349919.79150224,150671049.51706308,170190551.2283681,125306080.78982334,155596251.00447,89240637.9905015,102167627.91524616,129842939.45143086,201500085.71208248,114652560.27482308
84,Q15084,Q15084,Protein disulfide-isomerase A6,PDIA6,48.121,213128160.0,218973811.1382006,,104429142.6390264,253507524.7591574,228370200.98230436,141183559.11264643,131027614.32846609,177929009.16434598,248255284.2634729,174884461.17136642,233411255.07551235,239249214.49051413,165455631.96699566
